route,stops,early,on_time,late,total,early %,on_time %,late %
30,Southern Maryland Hospital,144,768,83,995,0.14,0.77,0.08
30,Clinton Fringe Lot,39,786,266,1091,0.04,0.72,0.24
30,Branch Ave Station Bus Bay J,265,773,44,1082,0.24,0.71,0.04
30,Old Branch Ave at Allentown Way,524,1444,330,2298,0.23,0.63,0.14
30,Padgett's Corner,473,1355,459,2287,0.21,0.59,0.2
30,Maxwell Dr at Morris Ave,83,656,408,1147,0.07,0.57,0.36
30,Morris Ave at Maxwell Dr,492,619,63,1174,0.42,0.53,0.05
30,Branch Ave Station - Arrival,175,558,568,1301,0.13,0.43,0.44
30,Southern Maryland Hospital (Hidden Arrival),72,124,785,981,0.07,0.13,0.8
30,Piscataway Rd at Old Branch Ave,0,0,20,20,0.0,0.0,1.0
30,Piscataway Rd at Brandywine Rd,1,0,16,17,0.06,0.0,0.94
30,Temple Hill Rd at Piscataway Rd,1,0,37,38,0.03,0.0,0.97
