,hour,route,boardings,alightings
61,8,Route 18,3905,4300
41,7,Route 18,3947,4153
81,9,Route 18,3740,3691
101,10,Route 18,3226,3615
120,11,Route 18,3543,3539
215,16,Route 18,3442,3441
158,13,Route 18,2933,3043
139,12,Route 18,3089,2980
195,15,Route 18,3330,2973
235,17,Route 18,3166,2967
177,14,Route 18,2513,2544
255,18,Route 18,2176,2525
68,8,Route 32,2256,2467
233,17,Route 16,2515,2460
48,7,Route 32,2378,2460
222,16,Route 32,2464,2450
218,16,Route 24,2396,2438
238,17,Route 24,2508,2391
242,17,Route 32,2298,2390
44,7,Route 24,2125,2344
39,7,Route 16,2304,2329
59,8,Route 16,2306,2275
202,15,Route 32,2252,2230
40,7,Route 17 (Route 1 Ride),2186,2208
88,9,Route 32,2205,2192
43,7,Route 21,2309,2181
123,11,Route 24,2083,2177
127,11,Route 32,2245,2175
213,16,Route 16,2314,2174
156,13,Route 16,2154,2164
142,12,Route 24,2078,2155
21,6,Route 18,3079,2146
64,8,Route 24,2039,2137
146,12,Route 32,2047,2132
63,8,Route 21,1916,2126
198,15,Route 24,2259,2118
108,10,Route 32,2006,2116
137,12,Route 16,2115,2100
79,9,Route 16,2063,2097
175,14,Route 16,2126,2085
84,9,Route 24,2003,2066
104,10,Route 24,2074,2023
82,9,Route 20,1917,2020
161,13,Route 24,2024,2018
118,11,Route 16,2073,1996
99,10,Route 16,1955,1985
42,7,Route 20,1901,1980
193,15,Route 16,2131,1974
217,16,Route 21,1983,1892
236,17,Route 20,1801,1891
184,14,Route 32,1794,1878
121,11,Route 20,1808,1873
180,14,Route 24,1810,1865
237,17,Route 21,1761,1847
165,13,Route 32,1721,1812
60,8,Route 17 (Route 1 Ride),1756,1809
130,11,Route 35,1833,1809
62,8,Route 20,1767,1754
83,9,Route 21,1933,1747
20,6,Route 17 (Route 1 Ride),1832,1744
216,16,Route 20,1849,1741
214,16,Route 17 (Route 1 Ride),1882,1741
149,12,Route 35,1681,1733
103,10,Route 21,1524,1720
140,12,Route 20,1752,1683
258,18,Route 24,1429,1675
102,10,Route 20,1695,1673
45,7,Route 26,1617,1657
111,10,Route 35,1602,1626
19,6,Route 16,1743,1577
67,8,Route 30,1558,1537
253,18,Route 16,1466,1530
87,9,Route 30,1478,1520
49,7,Route 33,1409,1519
223,16,Route 33,1449,1510
168,13,Route 35,1433,1504
234,17,Route 17 (Route 1 Ride),1696,1503
194,15,Route 17 (Route 1 Ride),1511,1501
