,hour,route,boardings,alightings
404,17,Route 16,6845,6635
372,16,Route 16,6742,6667
122,8,Route 16,6724,6446
91,7,Route 16,6464,6426
93,7,Route 18,6183,6037
99,7,Route 24,5979,5748
354,15,Route 32,5874,5558
94,7,Route 20,5773,5698
386,16,Route 32,5771,5670
435,18,Route 16,5616,5858
340,15,Route 16,5557,4989
111,7,Route 51,5515,5725
412,17,Route 24,5313,5363
62,6,Route 18,5310,5092
95,7,Route 21,5247,4787
380,16,Route 24,5219,5118
153,9,Route 16,5135,5261
142,8,Route 51,4986,4743
418,17,Route 32,4947,4902
376,16,Route 21,4938,4701
126,8,Route 21,4855,5487
125,8,Route 20,4822,5074
374,16,Route 18,4789,4339
408,17,Route 21,4751,5003
437,18,Route 18,4688,4547
406,17,Route 18,4649,5397
130,8,Route 24,4572,5252
375,16,Route 20,4571,4694
105,7,Route 32,4528,4189
155,9,Route 18,4517,4376
389,16,Route 35,4501,4270
235,11,Route 51,4484,4438
443,18,Route 24,4458,4626
124,8,Route 18,4422,5091
156,9,Route 20,4410,4389
60,6,Route 16,4389,3934
449,18,Route 32,4376,4693
266,12,Route 51,4372,4386
420,17,Route 34,4357,4271
407,17,Route 20,4303,4406
107,7,Route 34,4297,4048
229,11,Route 32,4285,3912
136,8,Route 32,4281,4866
342,15,Route 18,4274,3199
157,9,Route 21,4252,4414
173,9,Route 51,4248,4338
205,10,Route 51,4214,4252
63,6,Route 20,4210,3277
388,16,Route 34,4198,3864
323,14,Route 32,4191,4129
357,15,Route 35,4113,4165
68,6,Route 24,4113,3386
348,15,Route 24,4073,3982
438,18,Route 20,4038,4373
344,15,Route 21,4022,4319
161,9,Route 24,4022,4094
199,10,Route 32,3942,4029
167,9,Route 32,3857,3641
74,6,Route 32,3810,3714
260,12,Route 32,3808,4019
451,18,Route 34,3806,3816
317,14,Route 24,3747,3766
291,13,Route 32,3716,3946
75,6,Route 33,3679,2150
193,10,Route 24,3667,3809
466,19,Route 16,3647,3725
387,16,Route 33,3539,2588
356,15,Route 34,3536,3451
217,11,Route 18,3525,2948
106,7,Route 33,3510,3897
285,13,Route 24,3490,3418
385,16,Route 30,3407,3001
158,9,Route 21 Express,3357,3170
138,8,Route 34,3337,3567
249,12,Route 20,3323,3304
480,19,Route 32,3311,3253
104,7,Route 30,3301,3019
220,11,Route 21 Express,3261,2990
421,17,Route 35,3251,3433
309,14,Route 16,3241,3248
326,14,Route 35,3235,3084
218,11,Route 20,3165,2954
223,11,Route 24,3138,3202
324,14,Route 33,3132,2289
325,14,Route 34,3126,2918
314,14,Route 21 Express,3107,3050
127,8,Route 21 Express,3098,2503
139,8,Route 35,3070,3012
474,19,Route 24,3051,3214
215,11,Route 16,3019,2948
185,10,Route 16,3007,3038
450,18,Route 33,2999,2464
379,16,Route 23,2997,3024
170,9,Route 35,2968,3213
190,10,Route 21 Express,2931,2938
468,19,Route 18,2930,3312
254,12,Route 24,2928,2692
322,14,Route 30,2915,2856
